Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010]
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,3521418059.92345,2813571753.87253,3825701438.99963,4520946818.54581,5224896718.67782,6203256538.70967,6971758282.29351,9747886187.39393,10109297047.5432,12416152732.0567,15856668555.8336
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,2028553750,1099559027.77778,652174990.837304,1185315468.46295,1880950864.41311,2905092798.61916,3234486232.04392,2293666029.99318,2600356999.20614,3283941510.49964,3584570164.85195,4059064033.13379,4515003116.68036,5801712040.48463,7406645793.44038,8256658249.8128,9150528132.17633,11116937869.8568,13258506375.4518,12335540656.1006,12086545641.299
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,62048507531.3357,45715676428.2766,48003133346.9957,49945584452.6506,42543176828.9237,41764291671.7711,46941554225.3581,48177612042.1507,48187781984.4881,48640671734.9711,54790398570.3282,59413400923.6364,61516103406.1688,73482264190.9245,91913680985.1708,107046618669.707,123084258693.01,142482739809.849,180383848331.135,150317292079.359,177785053939.531
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,512000000,524000000,509000000,500000000,493000000,518000000,560000000,675000000,573000000
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,1028989692.06787,1106891361.53948,1209992020.29543,1007090269.86956,1017544068.8408,1178745282.8678,1224024139.21295,1180645571.8643,1211953994.05714,1240295103.08568,1432606188.65883,1548265807.99606,1764279824.23138,2366941808.98431,2900245324.32047,3161084091.26848,3459337986.67058,3957625367.30589,4102319398.76562,3688976340.67187,3449925738.83334
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,11229515599.3048,10603784541.197,8307810973.58848,5768720421.61367,4438321017.39068,5538749259.94714,7526421519.16979,7648380195.59902,6506221615.78722,6152923310.44546,9129594970.15301,8936079117.73136,17311512433.1938,20342128111.9406,26997977896.2907,41396636383.8231,58653659979.5501,73037821926.4655,98790432989.3077,81705175408.8809,95546919754.2873
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,478718518.518519,504337037.037037,525133333.333333,565662962.962963,625081481.481481,616051851.851852,679140740.740741,734422222.222222,789788888.888889,835544444.444444,901003703.703704,877774074.074074,898092592.592592,948100000,1026329629.62963,1143896296.2963,1303674074.07407,1487381481.48148,1557640740.74074,1386518518.51852,1298348148.14815
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,141352654305.163,189719984268.485,228778917308.17,236741715015.015,257440000000,258031750000,272149750000,292859000000,298948250000,283523000000,284203750000,268696750000,97724004251.8602,127586973492.177,164657930452.787,198737095012.282,232557260817.308,287530508430.568,361558037110.419,332976484577.619,423627422092.49
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,2256863448.77086,2069870129.87013,1272835453.42634,1201312829.27524,1315158636.67553,1468317435.20148,1596968946.23708,1639492444.76152,1893726437.26462,1845482173.02732,1911563668.85006,2118467913.37873,2376335048.39976,2807061008.69084,3576615240.41616,4900469511.10191,6384452066.5146,9206301269.79164,11662040713.8753,8647937081.2562,9260285755.62424
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,764804469.273743,872067039.106145,958659217.877095,1083240223.46369,1245810055.86592,1320670391.06145,1379888268.15642,1531843575.41899,1665363128.49162,1722905027.93296,1873452513.96648,1896456983.24022,1961843575.41899,2044111731.84358,2254830726.25698,2360017318.43575,2469782681.56425,2677641340.78212,2843024581.00559,2553793296.08939,2453597206.70391
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,311840666465.053,326416407860.792,325982966981.415,312568858909.5,323269456935.317,368725126225.126,401962517479.122,436321902767.408,400361527504.578,390347787943.351,416901962163.479,380360222861.197,396436967262.563,468517181129.878,615643050220.515,696811489612.816,749708370332.989,856603595823.192,1058448244063.77,931761689770.843,1152566632022.13
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,165811372382.912,173113449616.971,194314032056.098,189634029338.696,202738023129.743,240094169510.031,235952581232.129,211724812267.448,217068085815.918,216421809125.916,196181599831.287,196477206829.33,212837224022.813,260779834340.097,299210411454.823,313952317330.776,333905979332.481,386760177589.497,429234399096.173,399290118782.429,389827789217.634
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,8884848484.84848,5344000000,444658671.586716,1570392598.14954,1193141110.35043,2417331192.9526,3176507376.31836,3962362387.47922,4446368570.6901,4581248566.50158,5272615722.96892,5707616203.72011,6236087738.28284,7276413079.11451,8680405740.94125,13245421880.834,20981929497.6188,33049419431.2244,48851293785.4483,44292427184.9492,52909294791.9262
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,3166000000,3111160000,3109000000,3092000000,3259000000,3429000000,3609000000,6332360000,6833220000,7683870000,8076470000,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,10526000000,9981960000,10095760000
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,4809511005.31915,5248911170.21277,5402232446.80851,5913001063.82979,6330627925.53191,6651180851.06383,6938166755.31915,7219407712.76596,7031309042.55319,7528469148.93617,9062898936.17021,8976196808.51064,9593510638.29787,11074813829.7872,13150159574.4681,15968723404.2553,18504760638.2979,21730000000,25710904255.3191,22938218085.1064,26805984042.5532
