Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,..,..,..,..,..,..,..,..,174.9309914,138.7068217,178.9540884,198.8711157,221.7636539,254.1842491,274.2185536,376.223152,381.733238,452.0537055,560.6215055
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,617.2304355,336.5869945,200.8522198,367.2792251,586.4161351,911.3204654,1020.976181,728.5455237,1160.420471,1326.416524,1479.838846,1908.699007,2446.909499,2741.721365,3057.77257,3743.055299,4498.504868,4213.650076,4149.144699
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,2445.183327,1759.112016,1802.693008,1831.04801,1525.540618,1466.948068,1616.831987,1628.761006,1772.928691,1896.300209,1937.464114,2283.772993,2816.99385,3233.133396,3660.661047,4167.451699,5180.918815,4235.429905,4912.785855
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,8972.696365,9197.661968,8958.428667,8831.26976,8745.166211,9231.372409,10030.80891,12156.02939,10375.17201
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,19563.65747,19533.26207,20099.53522,15916.83952,15748.53075,18443.25452,19130.15972,18247.99957,21810.24874,23511.29515,26528.13016,34063.5784,39021.12781,40829.80188,43467.21099,48336.22833,49132.5157,43975.01837,42746.83095
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,965.8668405,881.9194881,668.7060175,449.7278949,334.9735903,404.2948185,531.1153665,521.7029149,563.7337956,533.5862024,999.065856,1133.66332,1451.471179,2145.886211,2930.444286,3515.05679,4578.155265,3645.148466,4101.637156
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,7590.754424,7956.474309,8153.737863,8624.620168,9351.487538,9034.475529,9756.08718,10336.25916,12027.49498,11539.18251,11658.69499,12173.23199,13037.88958,14368.57088,16173.81363,18204.5124,18786.67431,16472.24785,15217.39508
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,4315.334031,5709.247841,6789.996111,6931.855964,7437.562423,7357.616277,7663.212713,8146.7871,7637.014892,7141.475077,2569.699635,3320.477751,4242.020991,5067.653423,5869.38029,7185.251551,8944.110266,8150.23527,10260.13131
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,635.3553275,572.7402609,356.35078,347.8706447,390.8799643,443.9248609,487.0686244,505.0358871,593.4505817,659.5889885,742.6511183,882.0301677,1130.087914,1557.484589,2041.652671,2962.702346,3777.668593,2820.592655,3041.344507
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,12187.53636,13233.99052,13892.60514,14700.95981,16055.28779,16548.71739,16620.95456,17750.00956,20681.02303,20740.13258,21307.24825,21949.486,23700.63199,24171.83713,24845.65848,26736.30894,28171.9094,25134.77123,24093.14015
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,18273.56153,18885.42745,18650.36755,17724.53995,18155.6282,20479.17483,22055.83849,23683.4949,21908.9968,19733.65101,20335.09602,23757.58985,30886.05009,34535.20727,36658.82435,41128.24766,49811.20672,42954.84949,52313.8939
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,21596.06822,22323.13125,24782.71188,23987.20372,25546.24605,30207.06743,29645.94513,26571.75236,24487.29747,24430.49598,26334.86222,32110.11597,36614.25065,38157.37023,40382.20783,46622.96229,51581.39824,47857.44466,46611.13934
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,1238.271893,734.9442328,60.23512054,209.5309545,157.0635499,314.5580191,409.1855438,505.5162042,655.0972496,703.6709986,763.1088955,883.6925807,1045.013633,1578.36733,2472.957257,3851.330152,5574.468104,4950.39949,5843.533768
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,11473.30084,11082.35286,10873.40475,10613.06588,10991.23467,11374.60567,11783.7972,20367.57327,24940.07751,25371.92377,26781.61959,26429.12478,26650.29342,28602.41819,29184.78651,30051.84896,29392.38244,27512.9131,27473.10043
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,9342.538914,10434.1324,10460.15832,11151.8715,11629.35952,11900.93178,12091.78022,12254.66626,14214.48368,13573.23399,13501.47088,14486.0269,15963.94932,17966.16578,19267.28262,20908.40425,23299.49928,19465.31407,21819.32911
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,283.0537371,272.0649485,273.4650725,280.7572745,280.6030318,309.4586808,371.9179377,379.2849177,396.6707302,394.65641,393.8864223,426.7488075,455.6140169,480.0858508,490.3880265,537.9554928,613.062041,679.2114774,757.3852804
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,7781.405733,7790.262294,7519.201435,7904.707624,8223.166812,8460.473809,9011.778848,9521.571274,11674.67365,11639.51605,11760.45247,12075.9587,12886.36653,14214.42022,15619.6006,17235.43964,17565.693,16294.90995,19723.23819
