Entity,Code,Year,Primary energy consumption,Primary energy consumption (Original Year)
Afghanistan,AFG,1990,-1.0217508,
Afghanistan,AFG,2010,27.655802,
Albania,ALB,1990,-28.654306,
Albania,ALB,2010,-7.841788,
Algeria,DZA,1990,6.027377,
Algeria,DZA,2010,-2.1976686,
Angola,AGO,1990,6.1004796,
Angola,AGO,2010,8.60058,
Antarctica,ATA,1990,7.6923084,
Antarctica,ATA,2010,0,
Antigua and Barbuda,ATG,1990,3.6938076,
Antigua and Barbuda,ATG,2010,-3.322634,
Argentina,ARG,1990,-1.6256497,
Argentina,ARG,2010,3.5338192,
Armenia,ARM,2010,9.68147,
Australia,AUS,1990,2.0749915,
Australia,AUS,2010,-0.04681313,
Austria,AUT,1990,0.8613476,
Austria,AUT,2010,2.8762035,
Azerbaijan,AZE,1990,4.198885,
Azerbaijan,AZE,2010,-1.3282249,
Bahamas,BHS,1990,6.3891883,
Bahamas,BHS,2010,4.1833634,
Bahrain,BHR,1990,9.4485,
Bahrain,BHR,2010,1.0939115,
Bangladesh,BGD,1990,6.093817,
Bangladesh,BGD,2010,2.3357706,
Barbados,BRB,1990,5.939346,
Barbados,BRB,2010,-3.6723049,
Belarus,BLR,1990,0.49861017,
Belarus,BLR,2010,8.383906,
Belgium,BEL,1990,4.5044665,
Belgium,BEL,2010,6.836432,
Belize,BLZ,1990,31.562037,
Belize,BLZ,2010,20.999336,
Benin,BEN,1990,14.902584,
Benin,BEN,2010,14.309073,
Bhutan,BTN,1990,46.39956,
Bhutan,BTN,2010,17.084486,
Bolivia,BOL,1990,6.4195924,
Bolivia,BOL,2010,2.0933614,
Bosnia and Herzegovina,BIH,2010,2.9269114,
Botswana,BWA,1990,10.474071,
Botswana,BWA,2010,3.2741964,
Brazil,BRA,1990,-1.1737854,
Brazil,BRA,2010,8.99719,
Brunei,BRN,1990,-15.384807,
Brunei,BRN,2010,13.903214,
Bulgaria,BGR,1990,-7.6517987,
Bulgaria,BGR,2010,4.633502,
Burkina Faso,BFA,1990,1.9994028,
Burkina Faso,BFA,2010,11.205328,
Burundi,BDI,1990,5.4280205,
Burundi,BDI,2010,45.23441,
Cambodia,KHM,1990,0.41956115,
Cambodia,KHM,2010,15.419742,
Cameroon,CMR,1990,1.2261992,
Cameroon,CMR,2010,16.630342,
Canada,CAN,1990,-3.7990139,
Canada,CAN,2010,1.0764617,
Cape Verde,CPV,1990,0,
Cape Verde,CPV,2010,7.2689104,
Central African Republic,CAF,1990,6.950315,
Central African Republic,CAF,2010,2.5616875,
Chad,TCD,1990,109.5709,
Chad,TCD,2010,10.91992,
Chile,CHL,1990,5.3159847,
Chile,CHL,2010,2.702032,
China,CHN,1990,1.2992256,
China,CHN,2010,6.983755,
Colombia,COL,1990,-4.5386667,
Colombia,COL,2010,5.155944,
Comoros,COM,1990,18.62482,
Comoros,COM,2010,19.07063,
Congo,COG,1990,8.901017,
Congo,COG,2010,37.16579,
Costa Rica,CRI,1990,-3.5668623,
Costa Rica,CRI,2010,2.059803,
Cote d'Ivoire,CIV,1990,-15.779125,
Cote d'Ivoire,CIV,2010,5.3191485,
Croatia,HRV,1990,-16.891962,1991
Croatia,HRV,2010,1.667252,
Cuba,CUB,1990,-2.1220055,
Cuba,CUB,2010,13.732462,
Cyprus,CYP,1990,5.2561255,
Cyprus,CYP,2010,-2.7069497,
